sentence_id,l1,cefr,cefr_numeric,topic,grade,wordcount,nationality,text,target_word,register_label,register_markedness_llm,substitution_natural_llm,simpler_alternative_llm,confidence_llm
1,French,A1,1.0,Describing your family in an email,95.0,39.0,fr,I work with Lucienne since thirty years. We are friends. She is fifty three years old; She has two children; They are not in house. She is  short and she has brown hair and eyes. She always look happy.,since,neutral essay,1,1,for,3
10,French,A1,1.0,Describing your family in an email,70.0,25.0,fr,My school friends is very friendly to me. She's from Marseille in France. She's hardworking and we hard work  with her for obtain our certificate.,obtain,neutral essay,1,1,get,3
11,French,A1,1.0,Taking inventory in the office,90.0,52.0,fr,The news CODE OF CONDUCT PLEASE FOLLOW THIS CODES OF CONDUCT WHEN YOU ARE HERE - Arrive at work on time - Use the smoking area - Abide by the dress code - Don't share confidential information - Keep your workspace clean and fonctional - Abide by the dress code - Don't use personal USB key or your device,arrive,ambiguous,1,0,,1
29,French,A1,1.0,Replying to a new penpal,80.0,86.0,fr,"I like cooking and reading. Every days, in the morning i am in the kitchen and i cook some meat ( beef, sheep, pork), vegetables for my family; i also cook more differents cookies. There is a nice smell in the kitchen and i like that: I enjoy cooking In the evening often i read some books. i prefer love story and detective novel. When i am reading i forget all my troubles and all the people around me, it's very quiet and nothing can't disturb me",novel,neutral essay,0,0,,1
33,French,A1,1.0,Making notes for a visitor,95.0,52.0,fr,"They're a lot a of good places in my town. The Pizza Del Arte, which is on the national road, next the Mac Donald, is my favorite restaurant. I don't like the chineese restaurant near the pizza place. I prefer this one which is behind the post office, in front the supermarket.",place,neutral essay,0,1,spot,3
47,French,A1,1.0,Renovating your home,80.0,36.0,fr,"My favorite  it's neighborhood, it's close to shopping and not far from train station. It doesn't a swimming pool but every romm has free Wireless internet. The rooms are large and clean. The rates are reasonable.",large,neutral essay,1,1,big,3
54,French,A1,1.0,Giving suggestions about clothing,95.0,49.0,fr,"Most costs of living in France are increasing. Housing, transportation and gas prices are going up. The good news is that food and clothing are decreasing. Computer technology price is also going down. However, I live well in this country. I earn well enough for living, education and enternaining.",however,news,0,0,,2
69,French,A2,2.0,Writing on the family blog,90.0,85.0,fr,"to: all staff I suggest that we have to organize the lunch time of the team. We can discuss the pros and cons. I think the biggest advantage is obvious to avoid going out to take lunch and to cut personal expenses and a way to save money.The staff will have the choice to use this service or not . I purpose to put a new practical kitchen in. I suggest that we meet and I""ll give you all more details about this possibility.",discuss,academic,1,1,discuss,3
75,French,A2,2.0,Writing about what you do,80.0,28.0,fr,The soccer game at the evening take place in the Velodrome Stadium and will be Marseille between Paris. The price of the tickets is fourty euros by person.,place,news,0,0,,2
76,French,A2,2.0,Writing about what you do,95.0,54.0,fr,"Lynda Lemay will be in Tour on Friday, March 21st. She will perform in the Center of the congresses Vinci at 8:30 pm. She will present her new album, a journey in every corner of the life, in poetry, in music, in song. The price of the place is between 42 and 45 euros.",perform,news,1,1,perform,3
