annotation_source,sentence_id,l1,cefr,cefr_numeric,topic,grade,wordcount,nationality,text,target_word,register_label,register_markedness_llm,substitution_natural_llm,simpler_alternative_llm,confidence_llm,selection_tier,latinate_word,germanic_word,context_label (human),register_markedness (human),substitution_naturalness (human),simpler_alternative (human),confidence (human),comment (human),annotator_id
Darragh_annotations.csv,5063,French,A2,2.0,Summarizing a story,80.0,74.0,fr,"Most of my clothes are way too expensive. I think it's a guarantee of quality. For a first part with the products utilised of very good quality and a second part for people who created and made this outlets.  I prefer silk and leather to cotton. I like wearing blue, red and yellow more grey than dark boring colors. I just bought a splendid, new, electric blue, French, leather handbag. I definitely love it !",utilise,academic,1.0,1.0,use,3.0,marked_conf2plus,utilise,use,neutral,1.0,1.0,use,3.0,“utilised” is clearly over-formal relative to simple descriptive context; “used” would be the natural choice.,darragh
Darragh_annotations.csv,11862,French,B2,4.0,Turning down an invitation,80.0,123.0,fr,"In France, the good manners are very important. But in this days you see often men who don't know the good manners; They don't held the door open to let enter a woman or to open the car dor. Even when you are pregnant and you are in a supermarkt on the cashier, nobody let you go take his place. You have to wait your tour. Even at table you have to know how to utilise your cutlery, from outside to inside througt your plate. In the ""quatiers chics of Paris"""" you have some special school whrere you can learn all these good manners if you are born in a aristocratic family or if you get a job in a hight stars hotel.",utilise,neutral essay,1.0,1.0,use,3.0,marked_conf2plus,utilise,use,neutral,1.0,1.0,use,3.0,Clear register mismatch; everyday procedural context strongly favours “use” over the more formal “utilise.”,darragh
Darragh_annotations.csv,8220,French,A2,2.0,Writing about what you do,95.0,33.0,fr,"This Saturday afternoon, there is a beach volley party in Thionville near the river. Sarah will be here to initiate you. The party start at 9 a.m. and the admission is free.",initiate,neutral essay,1.0,0.0,,3.0,marked_conf2plus,initiate,begin,neutral,1.0,1.0,"teach (you), show (you how to play), set (you up)",3.0,"using ""iniciate"" here makes it sound like it's
a ritual or something very formal/ceremonial",darragh
Darragh_annotations.csv,11652,French,B2,4.0,Writing a report on staff satisfaction,80.0,137.0,fr,"French is my mother tongue. I remember when I was younger, I didn't understand anything in english. I said : ""one day english language will be my second language!"" In France, school try to initiate english tongue at the beginning of school. But it is not interesting and when you are young you don't realize this language is mandatory to have a better life for an international job or spend times with friends comes from all around the word. I recently moved in Australia and I spoke really fluently english for looking for a job and to be more sociable with australian people. But I knew that I will not understand all what they said. That's why , when I came back to France last summer , I joined ""englishtown"" to be better and make english my second ""native"" language.",initiate,neutral essay,1.0,0.0,,3.0,marked_conf2plus,initiate,begin,neutral,1.0,1.0,"teach (you) , introduce (you to)",3.0,"Initiate’ is the wrong verb here. It doesn’t make sense, and the sentence also has grammar errors; ‘teach’ would be the correct and natural choice.",darragh
Darragh_annotations.csv,1348,French,A1,1.0,Updating your online profile,90.0,40.0,fr,"My purchases, as for clothing, I will make always to the same place, J have much D advantages because J have my discount card and the saleswomen know me. One can discuss to exchange and hold beautiful blow of things",purchase,neutral essay,1.0,1.0,buy,3.0,marked_conf2plus,purchase,buy,informal,1.0,1.0,“things I buy” or just “clothes” ,3.0,"“Purchases” is correct grammatically but feels too formal for this topic. A simpler, more natural noun would be “things I buy” or just “clothes.””",darragh
Darragh_annotations.csv,4311,French,A1,1.0,Describing your favorite day,90.0,63.0,fr,"I get up at 8.30,I take a breakfast with my husband,I clean the house and I get to make purchase  then I go home and I cook ,we eat at 1 o'clock with my husband and one of my children or grand children.the afternoon I go to painter workshop where I paint and I go home at 6 o'clock.",purchase,informal,1.0,1.0,buy,3.0,marked_conf2plus,purchase,buy,informal,1.0,1.0,shopping or buy,3.0,"“Purchase” is grammatically correct as a noun but feels too formal for this personal, informal context; “shopping” or ""buy""  would be the simple, natural alternatives",darragh
Darragh_annotations.csv,4391,French,A1,1.0,Replying to a new penpal,80.0,56.0,fr,"My Instruments I play the guitar, the drums, the key, the bass and the C.A.M (computer assisted musical). I'm really happy when I play with my instruments, my best it's the guitar. I composed and performed with my friends every weeks and we loves this. I can play the bagpipe little bit, this funny.",assist,informal,1.0,1.0,help,3.0,marked_conf2plus,assist,help,informal,0.0,1.0,computer-aided music,3.0,"“Assisted’ is fine here; it’s just terminology, and both ‘computer-assisted’ and ‘computer-aided’ are acceptable for this context.",darragh
Darragh_annotations.csv,5199,French,A2,2.0,Writing about what you do,90.0,41.0,fr,"On saturday, at 8 PM, I'm going to assist at a handball match. I'm going tu support my son Lucas who is 12 years old and plays handball. The match is playing in a gymnasium in Fontenay aux Roses in France.",assist,neutral essay,1.0,0.0,,3.0,marked_conf2plus,assist,help,informal,1.0,1.0,"attend, go to ",3.0,Slightly formal/misused. Using “assist” to mean “attend” is a false friend from French (“assister à” = “to attend”).,darragh
Darragh_annotations.csv,2954,French,A1,1.0,Writing your online profile,95.0,55.0,fr,"I am the person who refuel aircraft I don't know the name in english. I love my job because it requires a lot of responsibility. Indeed, I have to be very careful on the jet fuel quality before refueling and respect the safety instructions. Before this job, I was a professional soldier for five years.",require,informal,1.0,1.0,need,3.0,marked_conf2plus,require,need,informal,0.0,0.0,needs,3.0,"In a more casual style, “needs” would be a simpler alternative. It is Slightly formal but completely fine for  a profile Bio",darragh
Darragh_annotations.csv,6692,French,A2,2.0,Summarizing a story,80.0,80.0,fr,"My jobs requires wearing suits. That is why I have it in several different colors and different materials. My favorite one is an elegant slim black english wool suit. It is also very light. It goes well with a white shirt and grey tie. I like to put this suit with my confortable and classic old black leather shoes. On the week end, I wear a more casual outfits like my new thin blue jeans and my stylish green sweater.",require,academic,1.0,1.0,need,3.0,marked_conf2plus,require,need,neutral,1.0,0.0,,3.0,"Requires’ is the best choice here because it clearly shows that the job imposes the obligation, unlike ‘have to,’ which is more personal and less precise.",darragh
