germanic,latinate,register_germanic,register_latinate
use,utilise,neutral,formal
start,commence,neutral,formal
begin,initiate,neutral,formal
end,terminate,neutral,formal
end,complete,neutral,formal
help,assist,informal,formal
need,require,neutral,formal
build,construct,neutral,formal
get,obtain,informal,formal
choose,select,neutral,formal
show,demonstrate,neutral,formal
tell,inform,informal,formal
try,attempt,informal,formal
buy,purchase,neutral,formal
ask,request,informal,formal
give,provide,neutral,formal
keep,maintain,neutral,formal
leave,depart,neutral,formal
put,place,neutral,formal
come,arrive,neutral,formal
see,observe,neutral,formal
think,consider,neutral,formal
want,desire,neutral,formal
say,state,neutral,formal
talk,discuss,neutral,formal
do,perform,neutral,formal
get,receive,informal,formal
take,accept,neutral,formal
answer,respond,neutral,formal
allow,permit,neutral,formal
forbid,prohibit,neutral,formal
eat,consume,neutral,formal
live,reside,neutral,formal
stay,remain,neutral,formal
work,function,neutral,formal
die,expire,neutral,formal
happen,occur,neutral,formal
change,alter,neutral,formal
become,transform,neutral,formal
seem,appear,neutral,formal
understand,comprehend,neutral,formal
remember,recall,neutral,formal
teach,instruct,neutral,formal
break,destroy,neutral,formal
fix,repair,neutral,formal
clean,purify,neutral,formal
grow,increase,neutral,formal
shrink,decrease,neutral,formal
rise,ascend,neutral,formal
fall,descend,neutral,formal
important,significant,neutral,formal
main,primary,neutral,formal
sure,certain,neutral,formal
maybe,perhaps,neutral,formal
often,frequently,neutral,formal
sometimes,occasionally,neutral,formal
very,extremely,neutral,formal
but,however,neutral,formal
so,therefore,neutral,formal
because,since,neutral,formal
big,large,neutral,formal
small,minimal,neutral,formal
new,novel,neutral,formal
old,ancient,neutral,formal
same,identical,neutral,formal
different,distinct,neutral,formal
true,accurate,neutral,formal
wrong,incorrect,neutral,formal
happy,content,neutral,formal
brave,courageous,neutral,formal
quick,rapid,neutral,formal
strong,powerful,neutral,formal
weak,feeble,neutral,formal
