sentence_id,l1,cefr,cefr_numeric,topic,grade,wordcount,nationality,text,target_word
1,French,A1,1.0,Describing your family in an email,95.0,39.0,fr,I work with Lucienne since thirty years. We are friends. She is fifty three years old; She has two children; They are not in house. She is  short and she has brown hair and eyes. She always look happy.,since
10,French,A1,1.0,Describing your family in an email,70.0,25.0,fr,My school friends is very friendly to me. She's from Marseille in France. She's hardworking and we hard work  with her for obtain our certificate.,obtain
11,French,A1,1.0,Taking inventory in the office,90.0,52.0,fr,The news CODE OF CONDUCT PLEASE FOLLOW THIS CODES OF CONDUCT WHEN YOU ARE HERE - Arrive at work on time - Use the smoking area - Abide by the dress code - Don't share confidential information - Keep your workspace clean and fonctional - Abide by the dress code - Don't use personal USB key or your device,arrive
29,French,A1,1.0,Replying to a new penpal,80.0,86.0,fr,"I like cooking and reading. Every days, in the morning i am in the kitchen and i cook some meat ( beef, sheep, pork), vegetables for my family; i also cook more differents cookies. There is a nice smell in the kitchen and i like that: I enjoy cooking In the evening often i read some books. i prefer love story and detective novel. When i am reading i forget all my troubles and all the people around me, it's very quiet and nothing can't disturb me",novel
33,French,A1,1.0,Making notes for a visitor,95.0,52.0,fr,"They're a lot a of good places in my town. The Pizza Del Arte, which is on the national road, next the Mac Donald, is my favorite restaurant. I don't like the chineese restaurant near the pizza place. I prefer this one which is behind the post office, in front the supermarket.",place
47,French,A1,1.0,Renovating your home,80.0,36.0,fr,"My favorite  it's neighborhood, it's close to shopping and not far from train station. It doesn't a swimming pool but every romm has free Wireless internet. The rooms are large and clean. The rates are reasonable.",large
54,French,A1,1.0,Giving suggestions about clothing,95.0,49.0,fr,"Most costs of living in France are increasing. Housing, transportation and gas prices are going up. The good news is that food and clothing are decreasing. Computer technology price is also going down. However, I live well in this country. I earn well enough for living, education and enternaining.",however
62,French,A1,1.0,Making notes for a visitor,95.0,52.0,fr,"My neighborhood is quiet and beautiful. There are a nice park accross the street. There are a lot of small shops behind the park. Once of week, there are the vegetable markets and my neighborhood becomes very busy. My favorite place is the playground. I go there every weekend with my children.",place
63,French,A1,1.0,Renovating your home,90.0,41.0,fr,"You have le Cheval Blanc. It's next to the beach. It's also close to downtown. The bedrooms are pretty small but the bathrooms are large. You have internet free and a fitness center. The rates are not expensive, 200 a night.",large
64,French,A1,1.0,Making notes for a visitor,90.0,36.0,fr,"My neighborhood is big, there's an playground behind my home. There's an movie theatre between the shop and restaurant. My favorite place is the pizza place. It's on the corner of charles de gaulle ans roserais.",place
65,French,A1,1.0,Telling someone what you're doing,70.0,76.0,fr,"I live in a average house. I like my house Upstairs, there are two bedrooms, one bathroom, many closets. Downstairs, hall, toilet, office, kitchen, and living room. The kitchen isn't big, we aren't eating. There are microwawe, refrigerator, stove, and closets. In living room, there are a large red sofa, table, chairs and a large tl. There is a small garden at the back. I dislike my neighborhood, it's too quiet, because it's far center town.",large
74,French,A1,1.0,Making notes for a visitor,90.0,69.0,fr,I live in my neighborhood near the beach. The people is friend and colored. There are many Italians and english. There's a lot of good italians restaurants. I go there with my family every sunday. We eat the delicious pizza. This restaurants are on the place next to the bank. Every week end I go to the beach with my friends. I like to swimming and playing volley ball.,place
81,French,A1,1.0,Making notes for a visitor,80.0,60.0,fr,"My neighborhood is very nice. There ''s an french restaurant across the street. There ''s a big depatement store ,his name gallery lafayette. There are a lot of good shops and restaurants. There ''s a coffee shop and and a good pizza place. My favorite place are the louvre museum and opera garnier. I like go a cinema every weekend.",place
83,French,A1,1.0,Giving suggestions about clothing,80.0,53.0,fr,"In my country living costs is going up. office suplies, transportation, gasoling are up. healthcare decrease slowly but ducation are increase because of utility of technology in education. in general the costs of living is encrease very slowly. that is what i can say for the evolution of living cost in my country.",decrease
83,French,A1,1.0,Giving suggestions about clothing,80.0,53.0,fr,"In my country living costs is going up. office suplies, transportation, gasoling are up. healthcare decrease slowly but ducation are increase because of utility of technology in education. in general the costs of living is encrease very slowly. that is what i can say for the evolution of living cost in my country.",increase
94,French,A1,1.0,Making notes for a visitor,90.0,47.0,fr,"My neighborhood is great. There's  bakery across the street. There's a subway and tramway to go to work. There's a indian restaurant in front of bakery, and a excelent wine shop. My favorite place is the park. across the street. I often go there with my family.",place
110,French,A1,1.0,Signing up for a dating website,80.0,44.0,fr,"I like Italian food. I often go to eat in a Italian restaurant. They are some realy delicious pizza, very frech salads and many sweet desserts and it's not expensive. When you arrive you can see several Windows and you can listen more birds",arrive
126,French,A1,1.0,Writing an online profile,95.0,39.0,fr,"Chalon Sur Sa'ne is a small town, but there are several museums, like that of photography. A cathedral is held majestically at the downtown, and of course of the parks are placed at various places. It's very beautiful city.",place
142,French,A1,1.0,Taking inventory in the office,100.0,49.0,fr,In my office there are a lot of people from a lot of different places. In the office there are a few restrooms which are very clean. And there are three desks mine included. I like to work in the meeting rooms because there is a good coffee machine.,place
147,French,A1,1.0,Writing an online profile,90.0,39.0,fr,"The Mayenne is great but I did not know all that much I know is that this is not a very attractive city I will never return since the day of my birth ,but it is a beautiful city",since
154,French,A1,1.0,Telling someone what you're doing,95.0,47.0,fr,My apartment is really lovely. It's in nice neighborhood and near public transportations. It has modern kitchen with a big fridge and a dishwasher. The bathroom is pretty clean and there is big bathtub. The balcony is my favorite place! it'sbig and facing  to  dome of Invalide.,place
157,French,A1,1.0,Writing an online profile,95.0,26.0,fr,"I live in a charming village. It's a beautifull country. All days, i see the Pyrnes. This is a wonderful montain. It's a really relaxing place.",place
160,French,A1,1.0,Writing your online profile,90.0,36.0,fr,"I currently work with my husband, he has a gar garage. I do welcome the customers, I do quotations and invoices , but I also place orders. I am also involved in accouting I like my job.",place
167,French,A1,1.0,Renovating your home,80.0,50.0,fr,"The rose-th is beatifull hotel.It's on the beach.The rooms are green and large,but there are expensive,around $ 300 a nigth.It's a free wireless internet every rooms.Its about 5 minutes working to downtown.It's realy confortable and the food in the restaurant is very delicious.",large
169,French,A1,1.0,Telling someone what you're doing,90.0,48.0,fr,My house is very quiet and it's in a very nice neighborhood. The kitchen is very large but the equipment is a little bit old. There's 4 bedroom and 2 bathroom. The livingroom is very big but cold. i ahve a big yard and it's near public transportation.,large
177,French,A1,1.0,Describing your family in an email,80.0,72.0,fr,"The hang Seng Index is the reference of stock market in hong kong. Due to an investment of from Mainland China this index has experienced a teady growth over the six past month. Six month ago, the HSI dropped to a low of 20,956 and since then it has risen till 27,499. Investors belives that the index will only got up next year due to massive investment from other countries.",since
180,French,A1,1.0,Renovating your home,90.0,53.0,fr,"I can you recommende a good hotel in the close dowtown. the neighbor is not Noisy and the rate is resonable. The rooms are not very large, but there are bathroom, toilette, car park and the top is wirless internet. In the evening after the restaut you can walk around the old port",large
186,French,A1,1.0,Telling someone what you're doing,95.0,60.0,fr,"My neighborhood is quiet, but it isn't near public transportation. Only few cars drives on our street. My house is great and lovely, there are a lot of rooms. The kitchen is big, but it has no dishwasher. In the livingroom there is a good fire place and the sofa is comfortable. I have a nice garden. It's very great.",place
193,French,A1,1.0,Telling someone what you're doing,100.0,57.0,fr,"My apartment is very nice, but there is a problem. My place is quiet, but the neighborhood is noisy. The kitchen is modern. It has a dishwasher and fridge. The bedroom is small, but it's comfortable. The bathroom is clean with a bathtub. The living room is great. I have a big TV and really comfortable chairs.",place
194,French,A1,1.0,Replying to a new penpal,80.0,56.0,fr,"When I was a child, I played the trumpet and the guitare and my sister played the flute and the piano. We praticed them every day. I loved performing duo with my sister. Now, I have a electric guitare. I often playing the guitare with my friend's band. It's a real pleasure to play with us.",perform
217,French,A1,1.0,Making notes for a visitor,95.0,81.0,fr,"I don't live in a neighborhood. The place where I live is on other side of the road, in front of my house there's a small town. In the center of my town there are a Church, a pharmacy and a hair salon. In front of the Church, there is a small supermarket and at the corner of the street there are some bars. My favorite place is the beach, it's at the edge of the town. I go there sometimes.",place
221,French,A1,1.0,Taking inventory in the office,80.0,43.0,fr,"in the office there are a lot of chairs, under the desks. There are few peoples and some plants. There are a lot of computers in the desks but only one or txo perhaps recycle bin. All peoples woks in this open space.",perhaps
233,French,A1,1.0,Writing your online profile,80.0,37.0,fr,I'm nurse for ten years. I work in a hospital surgery department. My studies lasted three years. this a work has allowed me to travel around world. I love this job. It provides help to meet people.,provide
241,French,A1,1.0,Replying to a new penpal,90.0,40.0,fr,I'm really into rugby. I play rugby since eight years. I have two trainings per weeks and matches are Sunday in afternoon. I often go to the stadium to see my favorite team and i encourage all of the players.,since
245,French,A1,1.0,Telling someone what you're doing,95.0,63.0,fr,"I have a modern house. There're 4 bedrooms but only one bathroom. The living room is big and there's a lot of light. In the big kitchen, it has microwave, dishwasher, fridge, stove. Lea's bedroom is painted pink. Kelia's bedroom is painted purple, lucas'bedroom is brown and green and mine is brown. There's a large garage. Our neighborhood is really nice and quiet.",large
249,French,A1,1.0,Giving suggestions about clothing,95.0,44.0,fr,"The level of life is higt in my country. The majority of products are imported. The highest prices are food, technology and houses. Transport prices have decreased last month. Education is free, health too. Salaries are adapted to living standards. However, unemployment is high.",however
252,French,A1,1.0,Making notes for a visitor,90.0,42.0,fr,"An chenese restaurant on the corner,an italian restaurant before the post office and the enjoys parc.The big shop is a great pizza place,but my favorit place is the beach avenue.This is my neighborhood,i go there good afternoon.",place
254,French,A1,1.0,Making notes for a visitor,95.0,67.0,fr,"I don't live in a town , but , there's a neighborhood of the town of Pontarlier that I like very much . There's a good pizza place behind a coffee shop and a nice library in front of the big church .In the same neighborhood , there's a big movie teather near a delicious bakery . My favorite shop , a perfume , is between the bank and the playground , next the Doubs .",place
269,French,A1,1.0,Making notes for a visitor,90.0,42.0,fr,"My favrite place is the park. It's between the driving school and bakery. There are a lot of restaurants. And on the left of the pizza place, there is a bus stop. There is a library at the street corner of Matthay.",place
278,French,A1,1.0,Writing an online profile,95.0,41.0,fr,"I am from Paris. Paris is a beautiful and nice city. There are a lot of excellent restaurants, and a lot of good places to visit (the Eiffel tour, Champs Elyse, etc). Paris is exciting with a lot of good shops.",place
289,French,A1,1.0,Giving suggestions about clothing,80.0,48.0,fr,"In my country in France, the price going to increase quickly! The rent is very expensive and that hurts because prices are going up. The people live difficult, the transportation goint up of 3% on years. The shopping is expensive for me, a dress 40 is very expensive",increase
308,French,A1,1.0,Giving directions to a party at home,95.0,62.0,fr,Carnival is  a festive Guadeloupe annual cultural event that takes place over about two months. A parade is organized : it starts in the afternoon and ends late at night. There are many people dressed with colorful costumes. There are many chariot through the streets followed by people who are dancing disguised. This is fantastic but very noisy group of many different music.,place
315,French,A1,1.0,Giving directions to a party at home,70.0,24.0,fr,The fireworks of July 14 is my favorite event. on song the music.  The center place is crowded and many children sings and smiles.,place
318,French,A1,1.0,Signing up for a dating website,95.0,34.0,fr,"I know a good french restaurant. The salads are delicious and fresh and the meal isn't expensive. The meat is good, not to spicy and the waiters are very nice. The place is beautiful.",place
