target_word,count
place,425
however,324
since,261
consider,136
state,136
increase,124
large,76
accept,73
discuss,63
receive,58
certain,55
therefore,54
perform,52
remain,49
arrive,48
decrease,46
provide,44
complete,34
inform,29
perhaps,28
appear,28
obtain,27
purchase,27
destroy,26
powerful,24
request,23
primary,22
select,20
construct,19
prohibit,18
occur,16
require,15
frequently,15
extremely,15
maintain,15
ancient,15
novel,14
desire,14
permit,12
significant,12
consume,11
observe,11
function,11
assist,11
demonstrate,10
accurate,9
repair,9
respond,6
content,6
comprehend,4
utilise,4
rapid,4
ascend,3
attempt,3
recall,3
occasionally,3
alter,2
courageous,2
minimal,2
descend,2
transform,2
initiate,1
depart,1
incorrect,1
identical,1
expire,1
